ID	group	value	time	liking
248	3	val	afterExperiment	2
248	3	hunger	afterExperiment	6
249	3	deval	pre	1
249	3	val	pre	1
249	3	hunger	pre	4
249	3	deval	post	-4
249	3	val	post	-2
249	3	hunger	post	3
249	3	deval	afterExperiment	-5
249	3	val	afterExperiment	-3
249	3	hunger	afterExperiment	2
251	3	deval	pre	2
251	3	val	pre	3
251	3	hunger	pre	7
251	3	deval	post	0
251	3	val	post	1
251	3	hunger	post	3
251	3	deval	afterExperiment	-2
251	3	val	afterExperiment	0
251	3	hunger	afterExperiment	2
252	3	deval	pre	3
252	3	val	pre	0
252	3	hunger	pre	6
252	3	deval	post	0
252	3	val	post	0
252	3	hunger	post	8
252	3	deval	afterExperiment	1
252	3	val	afterExperiment	0
252	3	hunger	afterExperiment	9
254	3	deval	pre	4
254	3	val	pre	5
254	3	hunger	pre	9
254	3	deval	post	-5
254	3	val	post	4
254	3	hunger	post	7
254	3	deval	afterExperiment	-4
254	3	val	afterExperiment	4
254	3	hunger	afterExperiment	8
255	3	deval	pre	2
255	3	val	pre	2
255	3	hunger	pre	9
255	3	deval	post	-3
255	3	val	post	-1
255	3	hunger	post	6
255	3	deval	afterExperiment	-2
255	3	val	afterExperiment	0
255	3	hunger	afterExperiment	5
257	3	deval	pre	2
257	3	val	pre	3
257	3	hunger	pre	7
257	3	deval	post	0
257	3	val	post	3
257	3	hunger	post	2
257	3	deval	afterExperiment	0
257	3	val	afterExperiment	3
257	3	hunger	afterExperiment	2
258	3	deval	pre	3
258	3	val	pre	2
258	3	hunger	pre	6
258	3	deval	post	0
258	3	val	post	1
258	3	hunger	post	4
258	3	deval	afterExperiment	0
258	3	val	afterExperiment	2
258	3	hunger	afterExperiment	4
259	3	deval	pre	4
259	3	val	pre	5
259	3	hunger	pre	10
259	3	deval	post	0
259	3	val	post	3
259	3	hunger	post	5
259	3	deval	afterExperiment	1
259	3	val	afterExperiment	5
259	3	hunger	afterExperiment	5
260	3	deval	pre	5
260	3	val	pre	4
260	3	hunger	pre	9
260	3	deval	post	2
260	3	val	post	3
260	3	hunger	post	6
260	3	deval	afterExperiment	1
260	3	val	afterExperiment	1
260	3	hunger	afterExperiment	7
261	3	deval	pre	3
261	3	val	pre	4
261	3	hunger	pre	8
261	3	deval	post	3
261	3	val	post	4
261	3	hunger	post	8
261	3	deval	afterExperiment	1
261	3	val	afterExperiment	4
261	3	hunger	afterExperiment	6
262	3	deval	pre	4
262	3	val	pre	3
262	3	hunger	pre	8
262	3	deval	post	-4
262	3	val	post	-2
262	3	hunger	post	2
262	3	deval	afterExperiment	1
262	3	val	afterExperiment	0
262	3	hunger	afterExperiment	6
263	3	deval	pre	4
263	3	val	pre	4
263	3	hunger	pre	8
263	3	deval	post	1
263	3	val	post	3
263	3	hunger	post	7
263	3	deval	afterExperiment	1
263	3	val	afterExperiment	3
263	3	hunger	afterExperiment	8
264	3	deval	pre	4
264	3	val	pre	5
264	3	hunger	pre	8
264	3	deval	post	4
264	3	val	post	5
264	3	hunger	post	5
264	3	deval	afterExperiment	2
264	3	val	afterExperiment	3
264	3	hunger	afterExperiment	6
265	3	deval	pre	4
265	3	val	pre	3
265	3	hunger	pre	7
265	3	deval	post	-1
265	3	val	post	1
265	3	hunger	post	5
265	3	deval	afterExperiment	1
265	3	val	afterExperiment	2
265	3	hunger	afterExperiment	7
267	3	deval	pre	2
267	3	val	pre	2
267	3	hunger	pre	6
267	3	deval	post	-4
267	3	val	post	2
267	3	hunger	post	2
267	3	deval	afterExperiment	-5
267	3	val	afterExperiment	-2
267	3	hunger	afterExperiment	2
268	3	deval	pre	2
268	3	val	pre	4
268	3	hunger	pre	4
268	3	deval	post	0
268	3	val	post	2
268	3	hunger	post	3
268	3	deval	afterExperiment	0
268	3	val	afterExperiment	0
268	3	hunger	afterExperiment	3
269	3	deval	pre	4
269	3	val	pre	2
269	3	hunger	pre	8
269	3	deval	post	-2
269	3	val	post	-1
269	3	hunger	post	3
269	3	deval	afterExperiment	-3
269	3	val	afterExperiment	-3
269	3	hunger	afterExperiment	7
270	3	deval	pre	5
270	3	val	pre	5
270	3	hunger	pre	9
270	3	deval	post	-4
270	3	val	post	2
270	3	hunger	post	2
270	3	deval	afterExperiment	-5
270	3	val	afterExperiment	-3
270	3	hunger	afterExperiment	1
271	3	deval	pre	3
271	3	val	pre	4
271	3	hunger	pre	8
271	3	deval	post	-4
271	3	val	post	2
271	3	hunger	post	3
271	3	deval	afterExperiment	0
271	3	val	afterExperiment	3
271	3	hunger	afterExperiment	3
272	3	deval	pre	3
272	3	val	pre	2
272	3	hunger	pre	3
272	3	deval	post	-4
272	3	val	post	-5
272	3	hunger	post	2
272	3	deval	afterExperiment	-3
272	3	val	afterExperiment	-3
272	3	hunger	afterExperiment	2
275	3	deval	pre	-1
275	3	val	pre	-3
275	3	hunger	pre	8
275	3	deval	post	-4
275	3	val	post	2
275	3	hunger	post	3
275	3	deval	afterExperiment	-5
275	3	val	afterExperiment	-3
275	3	hunger	afterExperiment	1
276	3	deval	pre	1
276	3	val	pre	3
276	3	hunger	pre	3
276	3	deval	post	-4
276	3	val	post	4
276	3	hunger	post	2
276	3	deval	afterExperiment	-4
276	3	val	afterExperiment	3
276	3	hunger	afterExperiment	7
277	3	deval	pre	5
277	3	val	pre	4
277	3	hunger	pre	8
277	3	deval	post	-5
277	3	val	post	4
277	3	hunger	post	5
277	3	deval	afterExperiment	-3
277	3	val	afterExperiment	3
277	3	hunger	afterExperiment	6
278	3	deval	pre	5
278	3	val	pre	5
278	3	hunger	pre	8
278	3	deval	post	-5
278	3	val	post	3
278	3	hunger	post	6
278	3	deval	afterExperiment	-4
278	3	val	afterExperiment	4
